25877,49036,6648,17504,234571,226265,10437,11149,310337,2509,84370,84556,21379,206393,5335,27768
20780,47698,6925,9740,191225,234428,6809,8328,219117,3805,35007,84008,20879,167420,4909,29493
32661,51375,9808,16816,222418,325963,4672,8494,225059,4537,58695,104633,25452,208733,5598,38580
31991,46637,8515,15769,191541,290071,13344,9331,214460,4043,47200,88956,22028,166913,4950,33395
29744,40780,7980,12239,196828,299364,12536,10046,232627,3852,47134,94306,23491,173896,6074,29203
25876,43018,7893,14874,151378,272254,9790,7922,201085,3390,48831,92311,23321,142697,5881,36682
25884,32674,5853,10673,228317,295892,11624,7714,206843,3147,33566,106009,12779,45707,5002,21332
21055,26509,6239,9667,178136,251007,10257,6080,107075,2287,33974,73744,13837,432867,4845,20589
21013,40974,6897,9621,138220,237534,6052,4773,153386,2120,33948,50630,16201,153595,4951,24780
23368,34705,6182,10307,221772,335700,10700,4278,183925,3608,39386,75103,19898,130377,5887,28318
19233,34890,4642,7661,193530,347185,9772,2760,157300,3024,31294,69007,16491,117499,5248,18707
11136,25210,3072,4224,161194,234125,9487,1709,95841,2100,9222,64907,14185,62837,3221,21052
27040,47307,5454,12077,179464,319748,10977,9285,295463,2963,78186,65552,12194,163534,4336,24608
20475,35942,5380,6920,153801,342725,10740,5962,207724,4577,38235,67861,13399,124342,4092,23609
34348,47088,10400,8874,181281,444576,12853,7821,235431,5246,51266,75468,17418,168854,4533,31697
32801,49475,8930,10372,189924,442732,15084,6574,192108,5265,46335,80526,20602,126588,5838,33938
30744,42884,9258,8209,155031,427935,15594,9725,222099,4295,48516,81963,19086,120162,4705,34526
29931,46213,7779,7163,131019,430947,14223,6256,192823,3802,45831,82783,17391,98204,4719,34643
27211,41204,6661,7243,223071,552865,18672,6658,214440,3972,37204,100196,11343,36101,4524,19955
20962,29535,6379,6474,151677,165040,14299,4691,95642,2328,32063,58799,10669,367646,3909,23707
20269,31580,6296,7132,141960,233290,10991,3750,142955,2260,32681,55603,14831,126906,4590,22862
25739,39322,7283,6930,193187,293570,14462,3357,196031,2329,39484,78833,18403,101107,5532,22870
19475,29108,6113,6495,165398,272966,14819,2236,155815,2258,31276,69033,17218,100608,4501,21793
14728,22467,3752,4594,165461,232280,15023,2125,99459,3770,9678,70366,15754,58274,2975,19160
27562,51891,6778,10308,178836,328666,17558,7573,283098,2836,89791,85388,13295,153681,5288,23186
24330,50055,7297,5336,160337,316802,14729,7106,206326,4740,36998,87042,13634,109414,4441,26831
35316,46739,9772,6313,181760,425922,10355,9408,221829,4742,43392,97057,16869,143115,5379,30109
42121,54960,9155,6668,179264,401095,20028,6985,256950,4892,45008,91708,17115,138106,4507,35870
30566,57093,8629,5732,150350,357968,15235,6840,225667,3641,39177,83994,15771,121862,5492,28041
29724,37218,7468,5551,140561,356964,17369,6348,234424,3536,38004,94383,14855,102566,5281,29204
28942,33279,6997,5195,224147,352270,18901,8228,233381,2708,35681,108809,10372,33051,5460,21460
18549,25603,6208,4459,151789,230724,14981,4670,79701,1750,26295,49747,8383,373804,4016,17322
25064,28718,7089,7911,147204,280111,14954,4194,148800,2117,33314,59442,10787,121823,5135,18979
27584,36350,6174,5131,192756,301522,18232,3279,190132,2411,36746,71959,11368,109373,5596,24198
20359,26896,4648,3378,178299,285730,17496,2203,149815,2010,35392,67258,9936,106902,4614,18654
9917,17392,3464,2565,220397,291784,19256,1581,142224,1865,32172,85257,11788,79903,4155,15279
28161,41750,5623,6258,112659,238246,16456,9786,229296,2109,44489,41261,8019,164939,5541,20898
22348,34569,4890,3940,125634,238406,16789,7508,183154,3748,30685,58329,9549,126984,4434,20404
33698,43472,7864,5823,165040,364211,19237,6999,176998,4494,39068,74220,13125,161338,4734,28328
36035,38976,8658,5301,157739,339769,15844,8023,154476,2856,41231,64952,10919,135469,4568,29385
31641,28651,7378,5224,131237,282038,7223,6858,144114,2388,34090,66604,10899,136386,5000,26462
25626,35209,7428,4805,121171,286140,7368,6178,152677,2279,36693,74385,10115,113919,4883,26867
25110,31579,6748,3591,193383,267233,8515,6821,151722,2620,34932,87226,6448,35376,6054,20506
18074,23747,6597,4028,124170,210452,6728,3780,66738,1672,29258,47580,7787,440206,4822,15880
20829,26178,6720,5286,123147,255602,8997,3298,117298,1883,30337,49590,10516,136100,5466,19215
20797,28856,7099,4575,158521,252567,13036,2959,123470,2207,36054,55281,12195,126305,5720,21053
15161,24168,6790,4059,157063,229204,11222,1544,114782,1806,26359,55469,12404,127674,5139,16684
7677,18254,6218,2946,151458,230336,16374,407,80703,1612,8708,69004,12458,73730,4461,13761
24775,42755,7769,8221,129170,249211,7552,12898,190600,1918,65648,52895,10397,198525,6537,20948
20206,42312,9433,4685,135855,243597,8032,9986,146995,3487,33758,61962,10714,145710,5763,19582
34345,50243,14278,6626,188301,372668,10360,12668,180480,3719,46673,85921,16078,185201,6830,25372
28189,36755,13432,6333,184343,288821,12500,7741,135385,3525,41556,69939,15750,142009,7558,29659
27806,34684,13118,7398,164836,305228,10500,9638,159862,2783,37178,87627,15453,150070,7757,30774
28052,35219,16343,6010,135987,303772,10500,7759,155064,2803,43357,95617,15646,134748,8026,30465
26566,24696,11464,4611,211104,254177,8500,6849,147648,2309,31742,102184,7895,34489,7852,18798
18071,22387,10870,4947,147451,199537,7600,4207,72969,1513,26619,64112,8837,452566,6279,17498
20948,25011,11430,5818,137127,255486,6800,3951,124464,1749,33752,63152,12557,144998,7318,19773
19530,30211,11435,5261,173721,246818,7800,2707,131082,2062,33573,69167,13642,122526,7472,21299
16574,23558,10675,4238,190458,245965,9400,1575,133057,1744,29661,65902,14428,126854,7911,18599
8601,19517,9433,3053,174566,243944,10000,423,94160,1470,10487,91204,14978,73237,5764,15270
24838,41964,9658,10317,155915,246560,11839,13808,201101,1920,69517,51560,13351,191186,7652,23255
19830,30760,12024,6104,151644,241138,8574,9974,153685,3386,37168,64226,12823,152329,6664,19931
32821,38921,16006,7762,185916,360744,10268,12064,176242,3819,46096,93162,17037,181849,8743,25272
28832,32638,12443,7678,161355,297329,12901,9536,141145,3133,39175,72457,15284,138770,6904,29514
31292,33091,13279,8552,157665,321607,11171,9466,167637,2636,40592,79981,15614,152658,9075,30439
28519,33864,13133,7032,198012,326766,11725,7937,160704,2255,46896,101490,15642,134901,8454,28560
25132,25200,9883,5258,192832,268387,10995,8276,156020,2264,31726,74138,8179,33459,8865,20389
17971,23272,9916,5699,133231,216764,8843,5835,80191,1584,28749,50590,10237,468945,7388,16883
20324,25119,10301,6132,116585,272191,8426,4287,126996,1718,31928,49646,14608,140069,7482,18500
21252,30009,10565,6737,162360,267454,11042,3442,117669,2053,36646,59731,16696,136605,8456,24251
17739,27895,10246,5248,172849,262242,10059,1803,151358,1894,30073,62432,15185,143055,7355,18798
11060,16135,8319,3371,142140,232875,9180,531,98999,1367,9376,74956,15100,71540,3464,12200
25922,42873,9400,13452,184541,275607,14036,16939,198031,1977,68099,56179,10863,191761,10221,26567
21424,44396,10551,7549,177378,266700,10257,14227,163131,3189,39920,72964,14665,159013,9935,20237
36175,45352,16496,8346,191942,375378,12437,16342,176517,3729,46962,96087,14187,180275,12229,23996
39247,39997,14775,9373,183244,336525,14602,12982,152157,4071,42183,74570,15920,162618,10642,32407
51258,36881,15454,9405,156597,338790,13907,14131,162802,3033,46347,82716,16612,165685,11723,29426
20261,34255,12942,7938,134489,316540,11206,9927,148121,2479,46346,79751,17001,141266,10797,30027
23085,32781,11058,7687,234474,304859,14852,9792,160157,2945,38406,103510,12189,39150,12472,20906
18718,20870,10402,7217,171317,228316,9183,6457,73252,1474,31299,51198,10893,479407,8640,15406
20646,25854,9836,6762,216484,274624,8942,5392,114835,1785,33666,58887,14789,138059,9137,19706
22614,32635,12073,7943,202150,285918,11425,4714,144853,2284,38311,78377,19961,154733,11845,19518
16846,24122,10539,6039,135090,260066,10968,3352,129949,1648,31073,70332,19147,135342,9654,18467
11449,17343,8904,4119,144385,232997,8006,944,108393,1366,9377,86357,17593,78141,7699,16232
