id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
1577,MICRO,0.1612,0.2231,0.063,0.1778
1578,MICRO,0.1326,0.2938,0.0836,0.2469
1579,MICRO,0.1648,0.2346,0.0688,0.163
1580,MICRO,0.1942,0.3915,0.0766,0.4055
1582,MICRO,0.0765,0.2766,0.0635,0.2118
1583,MICRO,0.1592,0.3183,0.0656,0.3351
1584,MICRO,0.1464,0.2884,0.0648,0.2517
1585,MICRO,0.1021,0.2709,0.0547,0.2917
1588,MICRO,0.0927,0.2012,0.0404,0.2497
1589,MICRO,0.1091,0.2257,0.0448,0.2266
1591,MICRO,0.1431,0.3175,0.0572,0.3069
1592,MICRO,0.1344,0.4389,0.0509,0.4214
1593,MICRO,0.1866,0.2823,0.0707,0.266
1595,MICRO,0.1651,0.2893,0.0792,0.2524
1598,MICRO,0.149,0.216,0.0574,0.2164
1599,MICRO,0.108,0.2453,0.0424,0.2428
1601,MICRO,0.1243,0.2001,0.0491,0.2018
1603,MICRO,0.1223,0.259,0.0486,0.2679
1604,MICRO,0.1189,0.3276,0.0656,0.2982
1605,MICRO,0.1376,0.1876,0.0573,0.1799
1606,MICRO,0.1603,0.1416,0.0652,0.1344
1607,MICRO,0.1878,0.3316,0.0732,0.3518
1608,MICRO,0.1722,0.2902,0.0913,0.3164
1609,MICRO,0.0692,0.2394,0.0505,0.2562
1610,MICRO,0.2056,0.303,0.0812,0.2946
1611,MICRO,0.2217,0.2793,0.0887,0.2615
1612,MICRO,0.1269,0.3151,0.0478,0.3225
1613,MICRO,0.2075,0.2182,0.0852,0.2124
1614,MICRO,0.1694,0.4181,0.0692,0.3678
1615,MICRO,0.1406,0.2344,0.0713,0.1915
1616,MICRO,0.1772,0.2944,0.0924,0.2535
1617,MICRO,0.1094,0.2726,0.0836,0.164
1618,MICRO,0.1754,0.3588,0.087,0.3266
1619,MICRO,0.1574,0.2313,0.0627,0.241
1620,MICRO,0.2124,0.311,0.0781,0.3119
1621,MICRO,0.0951,0.3893,0.0681,0.3336
1622,MICRO,0.1141,0.3226,0.0817,0.2613
1623,MICRO,0.1968,0.2447,0.0838,0.2533
1625,MICRO,0.239,0.2515,0.0915,0.2455
1626,MICRO,0.1455,0.3051,0.0654,0.3064
1629,MICRO,0.2183,0.3487,0.094,0.3093
1630,MICRO,0.0767,0.2764,0.0814,0.2572
1632,MICRO,0.2288,0.3843,0.087,0.3355
1636,MICRO,0.11,0.2045,0.0799,0.1941
1638,MICRO,0.1551,0.2383,0.0717,0.206
1639,MICRO,0.1942,0.23,0.0719,0.2397
1640,MICRO,0.1828,0.3486,0.0866,0.1943
1642,MICRO,0.2346,0.2476,0.098,0.2602
1644,MICRO,0.1255,0.3503,0.05,0.3516
1646,MICRO,0.2581,0.2495,0.101,0.2458
1647,MICRO,0.176,0.2735,0.0789,0.1847
1648,MICRO,0.1955,0.2739,0.0732,0.3132
1649,MICRO,0.1863,0.28,0.0904,0.2519
1650,MICRO,0.1182,0.2891,0.0725,0.1479
